subgroup_type,subgroup,cases,accuracy,ece,mce,brier,nll
claim_type,behavioral_health,20,0.95,0.022753582487978763,0.11432616516064487,0.04912826477682836,0.20941426938007726
claim_type,imaging,63,0.9206349206349206,0.03487564507348977,0.10779180881853856,0.07395728017468149,0.2828341167216286
claim_type,office_visit,70,0.9142857142857143,0.013190196558248936,0.0142459570875898,0.07898622393393628,0.2971313126596873
claim_type,pharmacy,39,0.9743589743589743,0.04676987287594372,0.10617911061587304,0.02776275369758949,0.14384490475039532
claim_type,preventive,41,0.975609756097561,0.04661351457803512,0.10651934121522133,0.02552618600501442,0.1320668243767077
claim_type,procedure,67,0.9701492537313433,0.042611551163457356,0.1050547224782008,0.03145599913997365,0.15516932627670024
policy_category,commercial,141,0.9574468085106383,0.02856942183720916,0.10645387023797614,0.04229458979997771,0.18767507865497102
policy_category,exchange,42,0.9761904761904762,0.04570317072803186,0.10593748153240712,0.02575140397354487,0.135824997864137
policy_category,medicaid_managed,39,0.8461538461538461,0.08829350918355082,0.11685159656926392,0.13789315567546587,0.4752999884531833
policy_category,medicare_advantage,78,0.9615384615384616,0.03292476880666312,0.10518842514401838,0.03826735108561471,0.17337855156631793
provider_type,facility,39,0.9743589743589743,0.042680897083785446,0.10542494096854038,0.027094938346925092,0.13939159379378027
provider_type,health_system,117,0.9145299145299145,0.03900207520271021,0.10516664638786533,0.0794707862504366,0.3007943049467387
provider_type,independent_practice,81,0.9753086419753086,0.04834207278109327,0.05390465343777173,0.02610973051510151,0.1355397665700623
provider_type,specialty_group,63,0.9523809523809523,0.026789334575911244,0.1060031989274246,0.04663666390718216,0.20030374037445567
member_group,group_a,130,0.9307692307692308,0.006197504705177822,0.040045242904831024,0.06485529805442804,0.2542528191220359
member_group,group_b,75,1.0,0.07171265267192022,0.10762212118279368,0.0053432531040222,0.07453251773952019
member_group,group_c,67,0.9104477611940298,0.04040325916324143,0.10673180415984762,0.08330030979448862,0.3137264268214144
member_group,group_d,28,0.9642857142857143,0.03885916927840148,0.10382163219225726,0.03552603923567176,0.16302095211172016
