threshold,coverage,accepted_accuracy
0.5,1.0,0.9466666666666667
0.51,1.0,0.9466666666666667
0.52,1.0,0.9466666666666667
0.53,1.0,0.9466666666666667
0.54,1.0,0.9466666666666667
0.55,1.0,0.9466666666666667
0.56,1.0,0.9466666666666667
0.5700000000000001,1.0,0.9466666666666667
0.58,1.0,0.9466666666666667
0.59,1.0,0.9466666666666667
0.6,1.0,0.9466666666666667
0.61,1.0,0.9466666666666667
0.62,1.0,0.9466666666666667
0.63,1.0,0.9466666666666667
0.64,1.0,0.9466666666666667
0.65,1.0,0.9466666666666667
0.66,1.0,0.9466666666666667
0.67,1.0,0.9466666666666667
0.6799999999999999,1.0,0.9466666666666667
0.69,1.0,0.9466666666666667
0.7,1.0,0.9466666666666667
0.71,1.0,0.9466666666666667
0.72,1.0,0.9466666666666667
0.73,1.0,0.9466666666666667
0.74,1.0,0.9466666666666667
0.75,1.0,0.9466666666666667
0.76,1.0,0.9466666666666667
0.77,1.0,0.9466666666666667
0.78,1.0,0.9466666666666667
0.79,1.0,0.9466666666666667
0.8,1.0,0.9466666666666667
0.81,1.0,0.9466666666666667
0.8200000000000001,1.0,0.9466666666666667
0.8300000000000001,1.0,0.9466666666666667
0.8400000000000001,1.0,0.9466666666666667
0.8500000000000001,1.0,0.9466666666666667
0.86,1.0,0.9466666666666667
0.87,1.0,0.9466666666666667
0.88,0.9966666666666667,0.9464882943143813
0.89,0.9766666666666667,0.9453924914675768
0.9,0.8866666666666667,0.943609022556391
0.91,0.8566666666666667,0.9416342412451362
0.9199999999999999,0.7866666666666666,0.9449152542372882
0.9299999999999999,0.75,0.9422222222222222
0.94,0.0,
0.95,0.0,
0.96,0.0,
0.97,0.0,
0.98,0.0,
0.99,0.0,
